Load	Stroke	Strain	Time
288.000000	0.068800	4.094000	0.407133
292.000000	0.068800	4.094000	0.409017
291.000000	0.069300	4.094000	0.410183
293.000000	0.069600	4.094000	0.411317
294.000000	0.069900	4.094000	0.412617
291.000000	0.070100	4.094000	0.413783
293.000000	0.070400	4.094000	0.415450
292.000000	0.070600	4.094000	0.416800
291.000000	0.070900	4.094000	0.417950
292.000000	0.071100	4.094000	0.419083
292.000000	0.071400	4.094000	0.420217
295.000000	0.071600	4.094000	0.421367
296.000000	0.071600	4.094000	0.422517
294.000000	0.072100	4.094000	0.423683
290.000000	0.072100	4.094000	0.424833
298.000000	0.072400	4.094000	0.426550
297.000000	0.072900	4.094000	0.427683
296.000000	0.072900	4.094000	0.428833
295.000000	0.073400	4.094000	0.429967
301.000000	0.073700	4.094000	0.431100
299.000000	0.073900	4.094000	0.432800
298.000000	0.073900	4.094000	0.433933
297.000000	0.074400	4.094000	0.435083
300.000000	0.074700	4.094000	0.436233
297.000000	0.074700	4.094000	0.437367
297.000000	0.074900	4.094000	0.438500
298.000000	0.075200	4.094000	0.439650
300.000000	0.075400	4.094000	0.440783
301.000000	0.075700	4.094000	0.441933
302.000000	0.075900	4.094000	0.444550
299.000000	0.076500	4.094000	0.445683
300.000000	0.076700	4.094000	0.446833
301.000000	0.077000	4.094000	0.447983
305.000000	0.077000	4.094000	0.449117
305.000000	0.077200	4.094000	0.450267
304.000000	0.077700	4.094000	0.451433
305.000000	0.077700	4.094000	0.452583
303.000000	0.078200	4.094000	0.453733
301.000000	0.078500	4.094000	0.454883
308.000000	0.078200	4.094000	0.456017
303.000000	0.078700	4.094000	0.457167
306.000000	0.078700	4.094000	0.458483
304.000000	0.079500	4.094000	0.460167
307.000000	0.079500	4.094000	0.461300
306.000000	0.079800	4.094000	0.462650
308.000000	0.080000	4.094000	0.463783
306.000000	0.080300	4.094000	0.464917
308.000000	0.080500	4.094000	0.466817
307.000000	0.080500	4.094000	0.467950
307.000000	0.081000	4.094000	0.469083
308.000000	0.081000	4.094000	0.470233
308.000000	0.081500	4.094000	0.471367
313.000000	0.081800	4.094000	0.472517
305.000000	0.082000	4.094000	0.473683
306.000000	0.082300	4.094000	0.474833
308.000000	0.082600	4.094000	0.476000
309.000000	0.082800	4.094000	0.478617
314.000000	0.083300	4.094000	0.479767
311.000000	0.083600	4.094000	0.480917
307.000000	0.083800	4.094000	0.482067
307.000000	0.084100	4.094000	0.483200
309.000000	0.084300	4.094000	0.484333
308.000000	0.084300	4.094000	0.485483
309.000000	0.084600	4.094000	0.486617
314.000000	0.084800	4.094000	0.487750
308.000000	0.085100	4.094000	0.488900
313.000000	0.085300	4.094000	0.490033
308.000000	0.085600	4.094000	0.491183
311.000000	0.085900	4.094000	0.492350
311.000000	0.085900	4.094000	0.493500
317.000000	0.086400	4.094000	0.495217
311.000000	0.086600	4.094000	0.496367
313.000000	0.086900	4.094000	0.497517
309.000000	0.087100	4.094000	0.498667
310.000000	0.087400	4.094000	0.499833
308.000000	0.087400	4.094000	0.500967
306.000000	0.087900	4.094000	0.502117
308.000000	0.087900	4.094000	0.503267
317.000000	0.088100	4.094000	0.504417
316.000000	0.088400	4.094000	0.505550
309.000000	0.088600	4.094000	0.506700
307.000000	0.088600	4.094000	0.507833
308.000000	0.089200	4.094000	0.509000
312.000000	0.089400	4.094000	0.510167
307.000000	0.089700	4.094000	0.511867
307.000000	0.089900	4.094000	0.513033
315.000000	0.090200	4.094000	0.514200
308.000000	0.090400	4.094000	0.515900
308.000000	0.090700	4.094000	0.517067
309.000000	0.090900	4.094000	0.518233
310.000000	0.091200	4.094000	0.519383
309.000000	0.091400	4.094000	0.520550
306.000000	0.091700	4.094000	0.521717
308.000000	0.091900	4.094000	0.522867
305.000000	0.092200	4.094000	0.524033
307.000000	0.092200	4.094000	0.525200
309.000000	0.092500	4.094000	0.526350
313.000000	0.092700	4.094000	0.527500
308.000000	0.093000	4.094000	0.529267
307.000000	0.093500	4.094000	0.530433
307.000000	0.093500	4.094000	0.531600
309.000000	0.094000	4.094000	0.532767
307.000000	0.093700	4.094000	0.533917
311.000000	0.094200	4.094000	0.535083
301.000000	0.094700	4.094000	0.536250
309.000000	0.094700	4.094000	0.537400
309.000000	0.095000	4.094000	0.538567
307.000000	0.095300	4.094000	0.539733
309.000000	0.095500	4.094000	0.540883
306.000000	0.095500	4.094000	0.542050
302.000000	0.096300	4.094000	0.543217
305.000000	0.096000	4.094000	0.544367
